SSD capacity:		4GB
Page size:		4KB
Pages / Block:		128 pages
Block size:		512KB
OP ratio:		25%
Physical Blocks:	8K (8192)
User Blocks:		6553
OP Blocks:		1639
PPNs:			1M (1048576)
LPNs:			838784
Total runs:		x10
Actual capacity:	3435659264 Bytes

Workload : Multi Hot/Cold
FTL : Multi-Stream policy
[Run 1] host 838784, valid page copy 0, GC# 0, WAF=1.00
blk to erase 4748 8191
blk to erase 68 4748
blk to erase 4534 68
blk to erase 4268 4534
blk to erase 329 4268
blk to erase 4212 329
blk to erase 4088 4212
blk to erase 210 4088
blk to erase 431 210
blk to erase 4076 431
blk to erase 606 4076
blk to erase 608 606
blk to erase 4062 608
blk to erase 352 4062
blk to erase 4602 352
blk to erase 512 4602
blk to erase 4049 512
blk to erase 2012 4049
blk to erase 326 2012
blk to erase 4024 326
blk to erase 4012 4024
blk to erase 1129 4012
blk to erase 280 1129
blk to erase 4004 280
blk to erase 1008 4004
blk to erase 228 1008
blk to erase 3999 228
blk to erase 391 3999
blk to erase 3979 391
blk to erase 153 3979
blk to erase 3972 153
blk to erase 116 3972
blk to erase 3967 116
blk to erase 110 3967
blk to erase 1704 110
blk to erase 3964 1704
blk to erase 0 3964
blk to erase 910 0
blk to erase 3961 910
blk to erase 3955 3961
blk to erase 539 3955
blk to erase 752 539
blk to erase 341 752
blk to erase 3941 341
blk to erase 685 3941
blk to erase 4068 685
blk to erase 1675 4068
blk to erase 3932 1675
blk to erase 394 3932
blk to erase 3899 394
blk to erase 1643 3899
blk to erase 179 1643
blk to erase 3898 179
blk to erase 946 3898
blk to erase 147 946
blk to erase 3896 147
blk to erase 3895 3896
blk to erase 889 3895
blk to erase 54 889
blk to erase 3885 54
blk to erase 629 3885
blk to erase 3875 629
blk to erase 489 3875
blk to erase 263 489
blk to erase 3866 263
blk to erase 462 3866
blk to erase 236 462
blk to erase 3813 236
blk to erase 3789 3813
blk to erase 86 3789
blk to erase 442 86
blk to erase 3786 442
blk to erase 3153 3786
blk to erase 319 3153
blk to erase 3725 319
blk to erase 1180 3725
blk to erase 4034 1180
blk to erase 301 4034
blk to erase 3724 301
blk to erase 878 3724
blk to erase 3713 878
blk to erase 143 3713
blk to erase 481 143
blk to erase 3686 481
blk to erase 787 3686
blk to erase 3685 787
blk to erase 449 3685
blk to erase 3675 449
blk to erase 108 3675
blk to erase 313 108
blk to erase 3673 313
blk to erase 81 3673
blk to erase 4083 81
blk to erase 1 4083
blk to erase 1812 1
blk to erase 3665 1812
blk to erase 77 3665
blk to erase 3655 77
blk to erase 1752 3655
blk to erase 51 1752
blk to erase 1098 51
